num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250321,3.4,1,5.9,1,2310,9,19.3,1,1239,9,13.5,1,12.6,1,13.4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250322,5,1,10.3,1,1752,9,19.2,1,1434,9,12.3,1,14.8,1,8.9,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250323,4.6,1,4.3,1,150,9,14.9,1,1522,9,9.1,1,9.6,1,10.6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250324,0.2,1,4.6,1,609,9,17.1,1,1441,9,9.8,1,10.9,1,12.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250325,0.2,1,5.4,1,2345,9,16.6,1,1424,9,10.5,1,11,1,11.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250326,0.2,1,5.6,1,153,9,15.6,1,1544,9,9.2,1,10.6,1,10,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250327,0,1,0.2,1,300,9,16.8,1,1548,9,8,1,8.5,1,16.6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250328,4.8,1,-0.9,1,533,9,14.5,1,1453,9,7.2,1,6.8,1,15.4,1,,,,,196,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250329,0,1,6.4,1,224,9,14.8,1,1444,9,8.5,1,10.6,1,8.4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250330,0,1,-0.2,1,141,9,18.3,1,1549,9,8.6,1,9.1,1,18.5,1,,,,,65,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250331,0.2,1,-0.4,1,527,9,16,1,1500,9,9,1,7.8,1,16.4,1,,,,,96,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250401,0,1,1.6,1,257,9,15.5,1,1419,9,9.5,1,8.6,1,13.9,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250402,0,1,6.5,1,454,9,17.8,1,1539,9,11.4,1,12.2,1,11.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250403,0,1,4.1,1,213,9,22.4,1,1502,9,13,1,13.3,1,18.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250404,0,1,6.4,1,334,9,24.6,1,1307,9,15.2,1,15.5,1,18.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250405,0,1,3.5,1,528,9,25.4,1,1408,9,15.5,1,14.5,1,21.9,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250406,0,1,5.8,1,538,9,18.8,1,1513,9,12.7,1,12.3,1,13,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250407,0,1,-1.3,1,521,9,18.2,1,1531,9,8.8,1,8.5,1,19.5,1,,,,,95,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250408,0,1,-2.3,1,508,9,18.7,1,1332,9,9.1,1,8.2,1,21,1,,,,,345,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250409,0,1,-0.6,1,522,9,20.3,1,1452,9,11.5,1,9.9,1,20.9,1,,,,,137,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250410,0,1,5.5,1,330,9,17.6,1,1430,9,10.5,1,11.6,1,12.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250411,0,1,0.4,1,518,9,21.6,1,1511,9,11.1,1,11,1,21.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250412,10.3,1,1.2,1,441,9,21.5,1,1203,9,12.4,1,11.4,1,20.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250413,0.2,1,11.9,1,610,9,18.1,1,1359,9,12.6,1,15,1,6.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250414,0.2,1,1.9,1,459,9,20.9,1,1613,9,12.4,1,11.4,1,19,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250416,0,1,6.7,1,510,9,13.2,1,1430,9,9.2,1,10,1,6.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250415,0.2,1,9.8,1,2116,9,18.4,1,1141,9,13.7,1,14.1,1,8.6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250417,0,1,0.5,1,520,9,16.1,1,1630,9,9.1,1,8.3,1,15.6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250418,0.2,1,0.1,1,500,9,18.4,1,1510,9,11.6,1,9.3,1,18.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250419,7.7,1,7.4,1,516,9,20.6,1,1457,9,13.1,1,14,1,13.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
